language,metric,comparison,kl_divergence
catalan,arity,real_vs_fully_random,0.0704308201681259
catalan,intervener_upos,real_vs_fully_random,0.0632097293136286
catalan,arity,real_vs_grammar_constrained,0.0076963576084926
catalan,intervener_upos,real_vs_grammar_constrained,0.0068330205463623
catalan,arity,real_vs_projective_random,0.0271041903851105
catalan,intervener_upos,real_vs_projective_random,0.0299577653476172
catalan,arity,real_vs_simplified,0.0024264042358462
catalan,intervener_upos,real_vs_simplified,0.0054796824662209
galician,arity,real_vs_fully_random,0.0587666653710248
galician,intervener_upos,real_vs_fully_random,0.0504576435571937
galician,arity,real_vs_grammar_constrained,0.0099690529899404
galician,intervener_upos,real_vs_grammar_constrained,0.0112623299354624
galician,arity,real_vs_projective_random,0.0237972347413446
galician,intervener_upos,real_vs_projective_random,0.0253646955245331
galician,arity,real_vs_simplified,0.0021538286239466
galician,intervener_upos,real_vs_simplified,0.0075313307067543
indonesian,arity,real_vs_fully_random,0.0794638592540499
indonesian,intervener_upos,real_vs_fully_random,0.0702663832155956
indonesian,arity,real_vs_grammar_constrained,0.0148805638838892
indonesian,intervener_upos,real_vs_grammar_constrained,0.0154391129652576
indonesian,arity,real_vs_projective_random,0.0264963303066629
indonesian,intervener_upos,real_vs_projective_random,0.029581506455078
indonesian,arity,real_vs_simplified,0.0020161800441348
indonesian,intervener_upos,real_vs_simplified,0.0036535553658036
marathi,arity,real_vs_fully_random,0.0839035923270906
marathi,intervener_upos,real_vs_fully_random,0.0464607834174457
marathi,arity,real_vs_grammar_constrained,0.0030908082122276
marathi,intervener_upos,real_vs_grammar_constrained,0.0160095255497991
marathi,arity,real_vs_projective_random,0.0088654715245161
marathi,intervener_upos,real_vs_projective_random,0.02198478637314
marathi,arity,real_vs_simplified,0.048444365375087
marathi,intervener_upos,real_vs_simplified,0.0379544316327646
persian,arity,real_vs_fully_random,0.0384767088817309
persian,intervener_upos,real_vs_fully_random,0.0685636736785734
persian,arity,real_vs_grammar_constrained,0.0013981915393536
persian,intervener_upos,real_vs_grammar_constrained,0.0053993369639026
persian,arity,real_vs_projective_random,0.0065141521693202
persian,intervener_upos,real_vs_projective_random,0.035615090996096
persian,arity,real_vs_simplified,0.0040915984344655
persian,intervener_upos,real_vs_simplified,0.0054377743966035
tamil,arity,real_vs_fully_random,0.0426843340724207
tamil,intervener_upos,real_vs_fully_random,0.0456410001691402
tamil,arity,real_vs_grammar_constrained,0.0107211825601746
tamil,intervener_upos,real_vs_grammar_constrained,0.0028591403039851
tamil,arity,real_vs_projective_random,0.0094612067808603
tamil,intervener_upos,real_vs_projective_random,0.0058130296151741
tamil,arity,real_vs_simplified,0.025885172661118
tamil,intervener_upos,real_vs_simplified,0.0238967064862452
telugu,arity,real_vs_fully_random,0.079000754334153
telugu,intervener_upos,real_vs_fully_random,0.0898431099825107
telugu,arity,real_vs_grammar_constrained,0.004192869161667
telugu,intervener_upos,real_vs_grammar_constrained,0.0549686582458991
telugu,arity,real_vs_projective_random,0.0012147257182559
telugu,intervener_upos,real_vs_projective_random,0.0898501943585135
telugu,arity,real_vs_simplified,0.1401662343233128
telugu,intervener_upos,real_vs_simplified,0.4451040365953945
