language,sentence_id,token_id,head_id,dependent_id,intervener_id,dependency_relation,dependency_distance,direction,intervener_upos,head_upos,dependent_upos,arity,subtree_size,depth,modifies,complexity_score,efficiency_ratio,language_label,treebank,typology,family,region,condition,replicate,source_file,morphological_richness,head_form,dependent_form,intervener_form
catalan,3LB-CAT-06010100-17-s1,2,6,1,2,subj,4,left,PROPN,AUX,PROPN,1,4,2,modifies_dependent,4.75,0.8421052631578947,Catalan,SUD_Catalan-AnCora,SVO,Romance,Europe,real,0,ca_ancora-sud-dev.conllu,0,ha,Fundació,Privada
catalan,3LB-CAT-06010100-17-s1,3,6,1,3,subj,4,left,PROPN,AUX,PROPN,1,3,3,neither,4.55,0.8791208791208791,Catalan,SUD_Catalan-AnCora,SVO,Romance,Europe,real,0,ca_ancora-sud-dev.conllu,0,ha,Fundació,Fira
catalan,3LB-CAT-06010100-17-s1,4,6,1,4,subj,4,left,ADP,AUX,PROPN,1,2,4,neither,4.2,0.9523809523809523,Catalan,SUD_Catalan-AnCora,SVO,Romance,Europe,real,0,ca_ancora-sud-dev.conllu,0,ha,Fundació,de
catalan,3LB-CAT-06010100-17-s1,5,6,1,5,subj,4,left,PROPN,AUX,PROPN,0,1,5,neither,3.1500000000000004,1.2698412698412698,Catalan,SUD_Catalan-AnCora,SVO,Romance,Europe,real,0,ca_ancora-sud-dev.conllu,0,ha,Fundació,Manresa
catalan,3LB-CAT-06010100-17-s1,8,7,9,8,comp:obj,1,right,NUM,VERB,NOUN,0,1,3,modifies_dependent,2.2500000000000004,0.44444444444444436,Catalan,SUD_Catalan-AnCora,SVO,Romance,Europe,real,0,ca_ancora-sud-dev.conllu,4,fet,balanç,un
catalan,3LB-CAT-06010100-17-s1,11,10,12,11,comp:obj,1,right,DET,ADP,NOUN,0,1,5,modifies_dependent,3.0,0.3333333333333333,Catalan,SUD_Catalan-AnCora,SVO,Romance,Europe,real,0,ca_ancora-sud-dev.conllu,3,de,activitat,l'
catalan,3LB-CAT-06010100-17-s1,14,13,15,14,comp:obj,1,right,DET,ADP,PROPN,0,1,7,modifies_dependent,3.8000000000000003,0.2631578947368421,Catalan,SUD_Catalan-AnCora,SVO,Romance,Europe,real,0,ca_ancora-sud-dev.conllu,4,de,Palau,el
catalan,3LB-CAT-06010100-17-s1,13,12,17,13,udep,4,right,ADP,NOUN,ADP,1,4,5,modifies_head,5.800000000000001,0.689655172413793,Catalan,SUD_Catalan-AnCora,SVO,Romance,Europe,real,0,ca_ancora-sud-dev.conllu,0,activitat,durant,de
catalan,3LB-CAT-06010100-17-s1,14,12,17,14,udep,4,right,DET,NOUN,ADP,0,1,7,neither,3.8000000000000003,1.0526315789473684,Catalan,SUD_Catalan-AnCora,SVO,Romance,Europe,real,0,ca_ancora-sud-dev.conllu,4,activitat,durant,el
catalan,3LB-CAT-06010100-17-s1,15,12,17,15,udep,4,right,PROPN,NOUN,ADP,2,3,6,neither,6.75,0.5925925925925926,Catalan,SUD_Catalan-AnCora,SVO,Romance,Europe,real,0,ca_ancora-sud-dev.conllu,0,activitat,durant,Palau
