language,sentence_id,token_id,head_id,dependent_id,intervener_id,dependency_relation,dependency_distance,direction,intervener_upos,head_upos,dependent_upos,arity,subtree_size,depth,modifies,complexity_score,efficiency_ratio,language_label,treebank,typology,family,region,condition,replicate,source_file,morphological_richness,head_form,dependent_form,intervener_form
galician,dev-1,2,13,1,2,udep,10,left,DET,AUX,ADP,0,1,3,neither,2.2,4.545454545454545,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,é,En,o
galician,dev-1,3,13,1,3,udep,10,left,NOUN,AUX,ADP,3,6,2,modifies_dependent,7.999999999999999,1.2500000000000002,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,é,En,estadio
galician,dev-1,4,13,1,4,udep,10,left,PROPN,AUX,ADP,0,1,3,neither,2.3500000000000005,4.255319148936169,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,é,En,IV
galician,dev-1,5,13,1,5,udep,10,left,ADP,AUX,ADP,1,3,3,neither,4.4,2.2727272727272725,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,é,En,de
galician,dev-1,6,13,1,6,udep,10,left,DET,AUX,ADP,0,1,5,neither,3.0,3.3333333333333335,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,é,En,o
galician,dev-1,7,13,1,7,udep,10,left,PROPN,AUX,ADP,1,2,4,neither,4.3500000000000005,2.2988505747126435,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,é,En,CPNCP
galician,dev-1,9,13,1,9,udep,10,left,DET,AUX,ADP,0,1,2,neither,1.7999999999999998,5.555555555555556,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,é,En,o
galician,dev-1,10,13,1,10,udep,10,left,NOUN,AUX,ADP,2,4,1,modifies_head,5.4,1.8518518518518516,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,é,En,tratamento
galician,dev-1,11,13,1,11,udep,10,left,ADP,AUX,ADP,1,2,2,neither,3.4,2.9411764705882355,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,é,En,con
galician,dev-1,12,13,1,12,udep,10,left,NOUN,AUX,ADP,0,1,3,neither,2.4000000000000004,4.166666666666666,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,é,En,quimioterapia
galician,dev-1,2,1,3,2,comp:obj,1,right,DET,ADP,NOUN,0,1,3,modifies_dependent,2.2,0.45454545454545453,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,En,estadio,o
galician,dev-1,4,3,5,4,udep,1,right,PROPN,NOUN,ADP,0,1,3,modifies_head,2.3500000000000005,0.4255319148936169,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,estadio,de,IV
galician,dev-1,6,5,7,6,comp:obj,1,right,DET,ADP,PROPN,0,1,5,modifies_dependent,3.0,0.3333333333333333,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,de,CPNCP,o
galician,dev-1,11,13,10,11,subj,2,left,ADP,AUX,NOUN,1,2,2,modifies_dependent,3.4,0.5882352941176471,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,é,tratamento,con
galician,dev-1,12,13,10,12,subj,2,left,NOUN,AUX,NOUN,0,1,3,neither,2.4000000000000004,0.8333333333333333,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,é,tratamento,quimioterapia
galician,dev-1,17,18,16,17,det,1,left,ADJ,NOUN,DET,0,1,4,modifies_head,2.75,0.36363636363636365,Galician,SUD_Galician-CTG,SVO,Romance,Europe,real,0,gl_ctg-sud-dev.conllu,0,tratamento,o,mellor
