language,sentence_id,token_id,head_id,dependent_id,intervener_id,dependency_relation,dependency_distance,direction,intervener_upos,head_upos,dependent_upos,arity,subtree_size,depth,modifies,complexity_score,efficiency_ratio,language_label,treebank,typology,family,region,condition,replicate,source_file,morphological_richness,head_form,dependent_form,intervener_form
indonesian,dev-s1,2,4,1,2,subj,2,left,NOUN,VERB,PROPN,1,2,2,modifies_dependent,3.6,0.5555555555555556,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,1,mendesain,Ahli,rekayasa
indonesian,dev-s1,3,4,1,3,subj,2,left,NOUN,VERB,PROPN,0,1,3,neither,2.4000000000000004,0.8333333333333333,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,1,mendesain,Ahli,optik
indonesian,dev-s1,5,4,6,5,udep,1,right,NOUN,VERB,ADP,0,1,1,modifies_head,1.6,0.625,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,1,mendesain,dari,komponen
indonesian,dev-s1,5,4,9,5,udep,4,right,NOUN,VERB,ADP,0,1,1,modifies_head,1.6,2.5,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,1,mendesain,seperti,komponen
indonesian,dev-s1,6,4,9,6,udep,4,right,ADP,VERB,ADP,1,3,1,modifies_head,3.5999999999999996,1.1111111111111112,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,0,mendesain,seperti,dari
indonesian,dev-s1,7,4,9,7,udep,4,right,NOUN,VERB,ADP,1,2,2,neither,3.6,1.1111111111111112,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,1,mendesain,seperti,instrumen
indonesian,dev-s1,8,4,9,8,udep,4,right,ADJ,VERB,ADP,0,1,3,neither,2.3500000000000005,1.7021276595744677,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,0,mendesain,seperti,optik
indonesian,dev-s1,16,14,17,16,conj:coord,1,right,CCONJ,NOUN,NOUN,0,1,6,modifies_dependent,3.3500000000000005,0.29850746268656714,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,0,teleskop,peralatan,dan
indonesian,dev-s1,18,17,20,18,mod@relcl,2,right,ADJ,NOUN,VERB,0,1,6,modifies_head,3.5500000000000007,0.5633802816901408,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,1,peralatan,mendukung,lainnya
indonesian,dev-s1,19,17,20,19,mod@relcl,2,right,PRON,NOUN,VERB,0,1,7,modifies_dependent,3.8500000000000005,0.5194805194805194,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,1,peralatan,mendukung,yang
indonesian,dev-s2,2,3,1,2,subj,1,left,PROPN,VERB,PROPN,0,1,2,modifies_dependent,1.95,0.5128205128205129,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,0,terletak,Wisma,Kalla
indonesian,dev-s2,4,3,9,4,mod,4,right,ADP,VERB,ADJ,1,3,1,modifies_head,3.5999999999999996,1.1111111111111112,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,0,terletak,jauh,di
indonesian,dev-s2,5,3,9,5,mod,4,right,NOUN,VERB,ADJ,1,2,2,neither,3.6,1.1111111111111112,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,1,terletak,jauh,kota
indonesian,dev-s2,6,3,9,6,mod,4,right,ADJ,VERB,ADJ,0,1,3,neither,2.3500000000000005,1.7021276595744677,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,0,terletak,jauh,makassar
indonesian,dev-s2,8,3,9,8,mod,4,right,PART,VERB,ADJ,0,1,2,modifies_dependent,1.75,2.2857142857142856,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,1,terletak,jauh,tak
indonesian,dev-s2,4,3,15,4,mod,9,right,ADP,VERB,ADJ,1,3,1,modifies_head,3.5999999999999996,2.5000000000000004,Indonesian,SUD_Indonesian-GSD,SVO,Austronesian,Southeast Asia,real,0,id_gsd-sud-dev.conllu,0,terletak,dengat,di
