language,sentence_id,token_id,head_id,dependent_id,intervener_id,dependency_relation,dependency_distance,direction,intervener_upos,head_upos,dependent_upos,arity,subtree_size,depth,modifies,complexity_score,efficiency_ratio,language_label,treebank,typology,family,region,condition,replicate,source_file,morphological_richness,head_form,dependent_form,intervener_form
persian,dev-s1,2,7,1,2,subj,5,left,NOUN,VERB,NOUN,1,4,2,modifies_dependent,4.8,1.0416666666666667,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,کرد,رئیس,انجمن
persian,dev-s1,3,7,1,3,subj,5,left,NOUN,VERB,NOUN,1,3,3,neither,4.6,1.0869565217391306,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,کرد,رئیس,جراحان
persian,dev-s1,4,7,1,4,subj,5,left,NOUN,VERB,NOUN,1,2,4,neither,4.4,1.1363636363636362,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,کرد,رئیس,قلب
persian,dev-s1,5,7,1,5,subj,5,left,NOUN,VERB,NOUN,0,1,5,neither,3.2,1.5625,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,کرد,رئیس,ایران
persian,dev-s1,6,7,1,6,subj,5,left,NOUN,VERB,NOUN,0,1,1,modifies_head,1.6,3.125,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,کرد,رئیس,تأکید
persian,dev-s1,11,22,10,11,subj,11,left,ADJ,VERB,NOUN,0,1,3,modifies_dependent,2.3500000000000005,4.680851063829786,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,امکانات,پیشرفته
persian,dev-s1,12,22,10,12,subj,11,left,ADJ,VERB,NOUN,0,1,3,modifies_dependent,2.3500000000000005,4.680851063829786,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,امکانات,تکنولوژیکی
persian,dev-s1,13,22,10,13,subj,11,left,ADP,VERB,NOUN,1,8,2,modifies_head,7.0,1.5714285714285714,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,امکانات,در
persian,dev-s1,14,22,10,14,subj,11,left,NOUN,VERB,NOUN,1,7,3,neither,7.0,1.5714285714285714,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,امکانات,خصوص
persian,dev-s1,15,22,10,15,subj,11,left,NOUN,VERB,NOUN,1,6,4,neither,6.799999999999999,1.6176470588235297,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,امکانات,انجام
persian,dev-s1,16,22,10,16,subj,11,left,NOUN,VERB,NOUN,1,5,5,neither,6.6,1.6666666666666667,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,امکانات,اعمال
persian,dev-s1,17,22,10,17,subj,11,left,NOUN,VERB,NOUN,2,4,6,neither,7.4,1.4864864864864864,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,امکانات,جراحی
persian,dev-s1,18,22,10,18,subj,11,left,ADJ,VERB,NOUN,0,1,7,neither,3.95,2.7848101265822782,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,امکانات,قلبی
persian,dev-s1,19,22,10,19,subj,11,left,ADP,VERB,NOUN,1,2,7,neither,5.4,2.0370370370370368,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,0,دارد,امکانات,در
persian,dev-s1,20,22,10,20,subj,11,left,NOUN,VERB,NOUN,0,1,8,neither,4.4,2.5,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,امکانات,ایران
persian,dev-s1,21,22,10,21,subj,11,left,NOUN,VERB,NOUN,0,1,2,modifies_head,2.0,5.5,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,2,دارد,امکانات,وجود
persian,dev-s1,11,10,12,11,mod,1,right,ADJ,NOUN,ADJ,0,1,3,modifies_head,2.3500000000000005,0.4255319148936169,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,امکانات,تکنولوژیکی,پیشرفته
persian,dev-s1,14,22,13,14,udep,8,left,NOUN,VERB,ADP,1,7,3,modifies_dependent,7.0,1.1428571428571428,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,در,خصوص
persian,dev-s1,15,22,13,15,udep,8,left,NOUN,VERB,ADP,1,6,4,neither,6.799999999999999,1.1764705882352944,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,در,انجام
persian,dev-s1,16,22,13,16,udep,8,left,NOUN,VERB,ADP,1,5,5,neither,6.6,1.2121212121212122,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,در,اعمال
persian,dev-s1,17,22,13,17,udep,8,left,NOUN,VERB,ADP,2,4,6,neither,7.4,1.081081081081081,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,در,جراحی
persian,dev-s1,18,22,13,18,udep,8,left,ADJ,VERB,ADP,0,1,7,neither,3.95,2.0253164556962022,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,در,قلبی
persian,dev-s1,19,22,13,19,udep,8,left,ADP,VERB,ADP,1,2,7,neither,5.4,1.4814814814814814,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,0,دارد,در,در
persian,dev-s1,20,22,13,20,udep,8,left,NOUN,VERB,ADP,0,1,8,neither,4.4,1.8181818181818181,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,دارد,در,ایران
persian,dev-s1,21,22,13,21,udep,8,left,NOUN,VERB,ADP,0,1,2,modifies_head,2.0,4.0,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,2,دارد,در,وجود
persian,dev-s1,18,17,19,18,udep,1,right,ADJ,NOUN,ADP,0,1,7,modifies_head,3.95,0.2531645569620253,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,جراحی,در,قلبی
persian,dev-s1,9,7,22,9,comp:obj,13,right,DET,VERB,VERB,0,1,3,neither,2.2,5.909090909090908,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,0,کرد,دارد,کلیه
persian,dev-s1,10,7,22,10,comp:obj,13,right,NOUN,VERB,VERB,3,4,2,modifies_dependent,6.8,1.911764705882353,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,2,کرد,دارد,امکانات
persian,dev-s1,11,7,22,11,comp:obj,13,right,ADJ,VERB,VERB,0,1,3,neither,2.3500000000000005,5.53191489361702,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,کرد,دارد,پیشرفته
persian,dev-s1,12,7,22,12,comp:obj,13,right,ADJ,VERB,VERB,0,1,3,neither,2.3500000000000005,5.53191489361702,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,کرد,دارد,تکنولوژیکی
persian,dev-s1,13,7,22,13,comp:obj,13,right,ADP,VERB,VERB,1,8,2,modifies_dependent,7.0,1.8571428571428572,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,کرد,دارد,در
persian,dev-s1,14,7,22,14,comp:obj,13,right,NOUN,VERB,VERB,1,7,3,neither,7.0,1.8571428571428572,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,کرد,دارد,خصوص
persian,dev-s1,15,7,22,15,comp:obj,13,right,NOUN,VERB,VERB,1,6,4,neither,6.799999999999999,1.9117647058823533,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,کرد,دارد,انجام
persian,dev-s1,16,7,22,16,comp:obj,13,right,NOUN,VERB,VERB,1,5,5,neither,6.6,1.9696969696969697,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,کرد,دارد,اعمال
persian,dev-s1,17,7,22,17,comp:obj,13,right,NOUN,VERB,VERB,2,4,6,neither,7.4,1.7567567567567566,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,کرد,دارد,جراحی
persian,dev-s1,18,7,22,18,comp:obj,13,right,ADJ,VERB,VERB,0,1,7,neither,3.95,3.291139240506329,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,کرد,دارد,قلبی
persian,dev-s1,19,7,22,19,comp:obj,13,right,ADP,VERB,VERB,1,2,7,neither,5.4,2.4074074074074074,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,0,کرد,دارد,در
persian,dev-s1,20,7,22,20,comp:obj,13,right,NOUN,VERB,VERB,0,1,8,neither,4.4,2.954545454545454,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,کرد,دارد,ایران
persian,dev-s1,21,7,22,21,comp:obj,13,right,NOUN,VERB,VERB,0,1,2,modifies_dependent,2.0,6.5,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,2,کرد,دارد,وجود
persian,dev-s1,24,32,23,24,cc,8,left,NOUN,VERB,CCONJ,1,8,3,modifies_head,7.6,1.0526315789473684,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,نیست,و,نیازی
persian,dev-s1,25,32,23,25,cc,8,left,ADP,VERB,CCONJ,1,7,4,neither,7.200000000000001,1.111111111111111,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,0,نیست,و,به
persian,dev-s1,26,32,23,26,cc,8,left,NOUN,VERB,CCONJ,2,6,5,neither,8.2,0.9756097560975611,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,نیست,و,اعزام
persian,dev-s1,27,32,23,27,cc,8,left,NOUN,VERB,CCONJ,0,1,6,neither,3.6000000000000005,2.222222222222222,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,نیست,و,بیماران
persian,dev-s1,28,32,23,28,cc,8,left,ADP,VERB,CCONJ,2,4,6,neither,7.200000000000001,1.111111111111111,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,نیست,و,به
persian,dev-s1,29,32,23,29,cc,8,left,ADP,VERB,CCONJ,1,2,7,neither,5.4,1.4814814814814814,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,0,نیست,و,خارج
persian,dev-s1,30,32,23,30,cc,8,left,ADP,VERB,CCONJ,0,1,8,neither,4.2,1.9047619047619047,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,0,نیست,و,از
persian,dev-s1,31,32,23,31,cc,8,left,NOUN,VERB,CCONJ,0,1,7,neither,4.0,2.0,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,1,نیست,و,کشور
persian,dev-s1,25,32,24,25,comp:pred,7,left,ADP,VERB,NOUN,1,7,4,modifies_dependent,7.200000000000001,0.9722222222222221,Persian,SUD_Persian-Seraji,SOV,Iranian,West Asia,real,0,fa_seraji-sud-dev.conllu,0,نیست,نیازی,به
