language,sentence_id,token_id,head_id,dependent_id,intervener_id,dependency_relation,dependency_distance,direction,intervener_upos,head_upos,dependent_upos,arity,subtree_size,depth,modifies,complexity_score,efficiency_ratio,language_label,treebank,typology,family,region,condition,replicate,source_file,morphological_richness,head_form,dependent_form,intervener_form
tamil,dev-s1,3,5,1,3,mod,2,left,ADJ,NOUN,ADJ,1,2,4,modifies_dependent,4.3500000000000005,0.4597701149425287,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,0,மக்களுக்கு,சாதாரண,சாமானிய
tamil,dev-s1,4,5,1,4,mod,2,left,ADJ,NOUN,ADJ,0,1,5,neither,3.1500000000000004,0.6349206349206349,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,0,மக்களுக்கு,சாதாரண,ஏழையெளிய
tamil,dev-s1,6,11,5,6,udep,4,left,NOUN,VERB,NOUN,0,1,4,neither,2.8000000000000003,1.4285714285714284,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,4,பாடுபட,மக்களுக்கு,மனசாட்சிக்கு
tamil,dev-s1,7,11,5,7,udep,4,left,NOUN,VERB,NOUN,1,2,3,neither,4.0,1.0,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,4,பாடுபட,மக்களுக்கு,விரோதம்
tamil,dev-s1,8,11,5,8,udep,4,left,ADP,VERB,NOUN,1,3,2,modifies_head,3.9999999999999996,1.0000000000000002,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,1,பாடுபட,மக்களுக்கு,இல்லாமல்
tamil,dev-s1,10,11,5,10,udep,4,left,PRON,VERB,NOUN,0,1,1,neither,1.45,2.7586206896551726,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,6,பாடுபட,மக்களுக்கு,அனைவரும்
tamil,dev-s1,10,11,8,10,udep,1,left,PRON,VERB,ADP,0,1,1,neither,1.45,0.6896551724137931,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,6,பாடுபட,இல்லாமல்,அனைவரும்
tamil,dev-s1,11,12,10,11,subj,1,left,VERB,AUX,PRON,2,8,1,modifies_head,7.8500000000000005,0.12738853503184713,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,3,வேண்டும்,அனைவரும்,பாடுபட
tamil,dev-s2,3,4,2,3,comp:obj,1,left,PART,PART,NOUN,0,1,4,modifies_dependent,2.5500000000000003,0.392156862745098,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,0,விட,துறைகளைய்,உம்
tamil,dev-s2,6,7,4,6,mod,1,left,PROPN,NOUN,PART,0,1,2,modifies_head,1.95,0.5128205128205129,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,3,துறை,விட,மருத்துவத்
tamil,dev-s2,8,12,7,8,subj,4,left,PART,VERB,NOUN,0,1,2,modifies_dependent,1.75,2.2857142857142856,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,0,துறையாகும்,துறை,தான்
tamil,dev-s2,9,12,7,9,subj,4,left,NOUN,VERB,NOUN,0,1,3,neither,2.4000000000000004,1.6666666666666665,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,4,துறையாகும்,துறை,மனிதாபிமானத்தோடு
tamil,dev-s2,10,12,7,10,subj,4,left,NOUN,VERB,NOUN,1,2,2,neither,3.6,1.1111111111111112,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,4,துறையாகும்,துறை,உடன்பாடு
tamil,dev-s2,11,12,7,11,subj,4,left,VERB,VERB,NOUN,1,3,1,modifies_head,3.8499999999999996,1.038961038961039,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,3,துறையாகும்,துறை,கொண்ட
tamil,dev-s3,3,19,1,3,mod,15,left,PRON,VERB,ADV,0,1,6,neither,3.4500000000000006,4.347826086956521,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,6,பேசினார்,ஆகவே,அனைவரும்
tamil,dev-s3,4,19,1,4,mod,15,left,NOUN,VERB,ADV,1,3,7,neither,6.199999999999999,2.4193548387096775,Tamil,SUD_Tamil-TTB,SOV,Dravidian,South Asia,real,0,ta_ttb-sud-dev.conllu,4,பேசினார்,ஆகவே,மனிதாபிமானத்தோடு
